,indicator,1,2,3,4,5,6,7,8,9,10
86,-1,143.571333489,143.591272567,144.009993212,144.169505839,144.877343119,145.734723487,146.54225616,147.349788832,147.589057772,147.698722703
87,0,144.877343119,144.428713857,144.558317866,144.558317866,144.26920123,143.541424871,143.571333489,143.591272567,144.009993212,144.169505839
88,1,144.618135101,144.707860954,145.036855746,145.971898824,144.877343119,144.428713857,144.558317866,144.558317866,144.26920123,143.541424871
89,0,146.522317081,146.54225616,145.535332704,145.186398833,145.425667773,145.555271782,145.664637627,145.585280095,143.871516313,144.618135101
90,-1,145.066764363,145.146520677,145.109134905,144.458622475,145.325972382,146.41265215,146.801464178,145.346509632,146.402682611,147.0108245
91,0,136.089194347,137.295508586,137.95848294,138.506807594,138.606502986,138.546685751,138.536716212,138.596533447,137.729183539,137.779031235
92,1,138.775985151,138.726137456,138.686259299,137.689305383,136.782077319,136.482991144,136.502930222,136.383295752,136.622564692,134.548900546
93,0,139.085040866,139.643335059,139.563578745,138.716167917,139.214644875,138.741091764,138.775985151,138.775985151,138.726137456,138.686259299
94,-1,137.041285337,137.13101119,137.021346259,137.081163494,136.453082526,136.802016397,136.672412388,136.802116093,139.085040866,139.643335059
95,0,138.397142663,137.58681852,137.071193955,137.061224415,137.041285337,137.13101119,137.021346259,137.081163494,136.453082526,136.802016397
96,1,138.877873842,138.397142663,137.58681852,137.071193955,137.061224415,137.041285337,137.13101119,137.021346259,137.081163494,136.453082526
97,0,141.88648137,141.477730265,142.402405022,142.611665649,142.115780771,141.248430864,141.188613629,141.288309021,141.517608421,141.517608421
98,-1,141.218522246,141.567456117,142.105811232,142.115780771,141.976207223,142.124553966,141.88648137,141.477730265,142.402405022,142.611665649
99,0,135.81503202,136.353387135,136.084209577,135.854910177,136.193874508,137.25064566,136.677397158,135.994483725,136.587671305,137.210767503
100,1,135.58074785,135.660504163,135.416250453,135.785123403,135.45612861,135.466098149,135.386341836,135.226829209,134.568839625,132.684596723
101,0,131.149287692,132.106363451,134.040454049,133.681550639,133.801185109,133.79121557,133.103317368,135.93466649,136.393265291,135.58074785
102,-1,131.16922677,131.149287692,132.106363451,134.040454049,133.681550639,133.801185109,133.79121557,133.103317368,135.93466649,136.393265291
103,0,129.7321177,130.491298107,130.630871655,129.613978661,129.14541032,129.703704513,130.10248608,130.082547001,130.052638384,130.610932577
104,1,131.28886124,131.229044005,131.438304632,132.225997921,130.81032336,129.7321177,130.491298107,130.630871655,129.613978661,129.14541032
105,0,135.446159071,135.795092942,132.59487087,131.129348613,131.28886124,131.229044005,131.438304632,132.225997921,130.81032336,129.7321177
106,-1,133.811154648,133.402403543,134.015530201,133.212982298,133.950728197,134.469144233,135.017468887,135.037407965,135.446159071,135.795092942
107,0,132.604840409,132.744413958,132.59487087,132.59487087,132.425289009,132.754383497,132.704535801,132.176150225,132.405449626,132.096393912
108,1,133.07340875,133.282769073,132.664657644,134.189997136,132.684497027,133.322647229,133.322647229,133.821124187,132.345632391,131.478282484
109,0,147.798418094,149.27390989,148.556103071,148.605950766,147.768509477,147.808387633,147.42057256,147.409606067,147.509301458,147.509301458
110,-1,147.895521406,147.957930721,148.017747956,147.399636528,147.987839338,147.798418094,147.878174407,147.846471273,147.798418094,149.27390989
111,0,145.046825285,144.518439709,144.658013258,143.611211646,146.173383211,147.299941136,147.115504661,147.235139131,147.688753163,147.918052564
112,1,145.694845331,145.82444934,145.844388418,145.615089017,145.435637312,145.156490216,145.046825285,144.518439709,144.658013258,143.611211646
113,0,144.947229589,145.026886207,144.767678189,145.744693027,147.150398049,146.990885422,147.299941136,146.980915883,146.512347542,147.379697449
114,-1,147.708692242,147.758539938,148.994762794,150.031594867,149.852143162,149.65185512,150.749401686,150.699454295,150.639736756,150.94879247
115,0,140.839679758,140.759923445,139.932451694,139.972329851,139.224614414,139.368674255,138.277508193,138.905589161,139.762969529,139.493791971
116,1,140.670197592,140.81974068,140.261446487,140.072025243,140.530624044,140.620349897,140.81974068,140.779862523,138.905589161,137.749122618
117,0,141.557486578,141.951283375,142.215575858,141.785789025,142.684044503,142.84355713,140.670197592,140.81974068,140.261446487,140.072025243
118,-1,138.320875689,137.524708291,139.374157501,140.062055704,141.557486578,141.951283375,142.215575858,141.785789025,142.684044503,142.84355713
119,0,138.756046073,138.746076534,138.626442064,138.726137456,139.443944275,136.782077319,136.363356674,133.930789118,133.741367874,133.960697736
120,1,138.935497778,138.756046073,138.746076534,138.626442064,138.726137456,139.443944275,136.782077319,136.363356674,133.930789118,133.741367874
121,0,149.03464095,148.336773209,147.937991642,148.247047357,147.888143947,147.818357172,146.42262169,145.46056116,144.972053741,142.340095402
122,-1,147.339819293,146.89119003,147.549179615,147.539210076,148.08753473,148.651810647,148.785402471,148.845219706,148.92497602,149.03464095
123,0,144.408874474,144.558317866,144.548348327,146.42262169,146.612042934,146.808642246,145.754662566,146.430996103,146.66189063,146.283048141
124,1,143.980084595,144.239292613,144.379364638,142.594318651,140.58047174,145.186398833,140.814855606,141.348126256,139.792878146,139.184736257
125,0,144.418744318,143.980084595,144.239292613,144.379364638,142.594318651,140.58047174,145.186398833,140.814855606,141.348126256,139.792878146
126,-1,146.073687819,146.053748741,146.143474593,144.418744318,143.980084595,144.239292613,144.379364638,142.594318651,140.58047174,145.186398833
127,0,146.322926298,146.073687819,146.053748741,146.143474593,144.418744318,143.980084595,144.239292613,144.379364638,142.594318651,140.58047174
128,0,155.614536798,154.03934961,153.6804462,153.750232975,154.059288689,154.807004126,155.744140807,155.963470669,155.933562051,155.725098987
129,-1,153.849928366,153.132121546,153.032426155,153.012686467,155.046273066,155.35532878,154.009440993,153.281664634,152.922761224,156.222678687
130,0,151.616751594,151.566903898,151.487147585,152.13516763,153.052365233,153.849928366,153.132121546,153.032426155,153.012686467,155.046273066
131,1,153.551141278,153.112182468,152.384406109,151.706477446,151.945746386,152.083625113,152.61370551,151.616751594,151.566903898,151.487147585
132,0,156.701216567,156.402030697,154.787065048,153.979532375,153.81005021,152.992547998,153.230720289,153.551141278,153.112182468,152.384406109
133,-1,156.810881498,156.172830991,156.362252235,155.923592512,155.664583885,155.225724771,154.228770854,158.047104354,157.030211359,158.580474699
134,0,156.512217498,156.810881498,156.172830991,156.362252235,155.923592512,155.664583885,155.225724771,154.228770854,158.047104354,157.030211359
135,1,157.129426345,156.840731884,156.512217498,156.810881498,156.172830991,156.362252235,155.923592512,155.664583885,155.225724771,154.228770854
136,0,163.858993768,163.908768675,164.127778266,164.058093396,163.809218861,160.912319275,159.468846972,157.019921549,156.830776903,156.084153298
137,-1,159.120422624,159.225149028,158.662493479,159.71652691,159.478801954,160.046235893,161.191058754,161.848087526,163.112370163,165.272601126
138,0,157.219021177,156.840731884,157.388255861,157.388255861,157.477850693,156.731227089,156.691407163,157.945535719,157.438030768,156.870596828
139,1,157.348435935,157.477850693,157.368445448,155.795458838,156.084153298,155.586404228,155.138430065,154.401761442,153.366443377,153.147433786
140,0,159.279702326,159.060692735,156.940281698,157.179201252,157.139381326,157.159390839,157.886004931,157.139381326,157.348435935,157.477850693
141,-1,163.211919977,156.442532628,159.478801954,160.275200466,159.150287568,158.52312374,158.533078721,158.632628535,160.982004145,165.237758691
142,0,162.903315554,163.211919977,156.442532628,159.478801954,160.275200466,159.150287568,158.52312374,158.533078721,158.632628535,160.982004145
143,1,158.662493479,158.995985356,160.006415968,159.777451396,162.037232172,162.913270535,162.614621093,162.903315554,163.211919977,156.442532628
144,0,159.478702404,158.662493479,158.995985356,160.006415968,159.777451396,162.037232172,162.913270535,162.614621093,162.903315554,163.211919977
145,0,156.074198317,153.45603821,154.730275828,155.058790214,156.492307535,157.139381326,157.199111214,157.129426345,156.790956977,155.437079507
146,1,161.3802034,161.539483103,159.926776117,157.985554745,157.487805675,158.911368014,157.696860284,158.194609354,156.074198317,153.45603821
147,0,159.040782772,158.154789428,158.961142921,159.140332586,160.693309684,162.146736968,162.355791577,162.395611503,162.325926633,161.728627749
148,-1,160.603714852,158.652538498,159.040782772,158.154789428,158.961142921,159.140332586,160.693309684,162.146736968,162.355791577,162.395611503
149,0,159.648036638,159.478801954,159.608216712,159.249837382,160.603714852,158.652538498,159.040782772,158.154789428,158.961142921,159.140332586
150,1,160.573849907,160.265245484,159.648036638,159.478801954,159.608216712,159.249837382,160.603714852,158.652538498,159.040782772,158.154789428
151,0,165.392060903,165.551440155,165.770350196,165.352240977,164.963996703,165.252691163,165.431980378,165.909719935,165.591160531,165.178028803
152,-1,166.785758298,166.905218075,167.542336884,168.069950898,167.87085127,168.040085954,168.020175991,168.249140563,169.29441361,169.762297735
153,0,166.268099266,166.954992982,166.994812907,167.091376227,168.348690377,165.919674917,167.024677852,166.01424724,166.327829154,167.004767889
154,1,164.257193024,163.291559828,163.5205244,163.610119233,163.779652566,163.938633619,163.739533991,164.764897075,164.003340998,163.251739903
155,0,169.413972936,169.483558256,169.58310807,169.752342754,169.403918405,169.573153089,169.433783349,169.463548744,169.403918405,168.607519893
156,-1,167.94053614,168.378555321,167.641886698,168.020175991,168.239185582,166.735983391,167.124227666,167.850941307,169.035584093,169.901667475
157,0,164.774852056,164.973951684,164.257193024,164.934131759,165.202916256,164.963996703,165.083456479,168.079905879,168.577654949,167.353192238
158,1,165.402015884,166.27108576,166.268099266,166.243211812,166.078954619,165.003816628,164.814671982,164.774852056,164.973951684,164.257193024
159,0,171.6537442,171.444689591,171.345139777,170.459146433,171.673654163,170.608471154,169.921676987,169.5134232,170.887210633,171.872753791
160,-1,176.561550028,176.452045233,176.412125758,176.735762203,176.959749284,177.636688019,177.586913112,177.507173711,177.527183224,177.85569761
161,0,172.420277768,173.525280703,173.316226093,173.316226093,173.356046019,173.395865945,173.614875535,174.192264456,174.042939735,174.013074791
162,1,173.993164828,174.461048954,174.530733824,174.640238619,174.749743414,174.699968507,172.868251931,172.051943456,173.117126466,171.414824647
163,0,177.875607573,177.955247424,177.825832666,177.696417907,176.949794303,177.019479173,177.059299098,177.517228242,177.268353707,177.945292442
164,-1,175.108122745,175.357096829,176.053845977,176.800469582,176.402270326,176.68897379,176.387337854,177.278308689,177.537237755,178.154347052
165,0,163.570299307,163.420974586,163.371199679,163.261694884,162.365746559,162.773900796,162.933180498,163.002865368,162.843585666,163.341334735
166,1,151.788578826,150.30439065,150.310264089,150.45958881,149.96183974,150.121218992,149.752785131,150.001659665,148.727422047,148.627872233
167,0,158.304114149,157.73668021,157.438030768,157.328525972,157.686905303,157.686905303,158.672448461,158.503213777,160.414570205,159.819361867
168,-1,156.840731884,158.304114149,157.73668021,157.438030768,157.328525972,157.686905303,157.686905303,158.672448461,158.503213777,160.414570205
169,0,159.678100681,159.458891991,158.214519317,157.059741475,156.651587238,155.357439656,156.840731884,158.304114149,157.73668021,157.438030768
170,1,161.02182407,160.275200466,159.80731634,159.518621879,159.678100681,159.458891991,158.214519317,157.059741475,156.651587238,155.357439656
171,0,161.937682359,161.25178414,161.848087526,162.176601912,161.977502284,161.768447675,161.260743624,161.02182407,160.275200466,159.80731634
172,-1,159.916821135,156.731227089,160.245335521,159.687856563,161.320373962,161.280653586,161.937682359,161.25178414,161.848087526,162.176601912
173,0,156.711317126,155.944783559,155.845233745,156.392757721,157.228976159,160.265245484,160.265245484,159.916821135,156.731227089,160.245335521
174,1,158.353889056,158.52312374,157.278751066,156.198635584,161.031779052,157.905914893,158.722223368,156.711317126,155.944783559,155.845233745
175,0,158.901413033,158.88150307,158.991007866,159.180052962,158.353889056,158.52312374,157.278751066,156.198635584,161.031779052,157.905914893
176,-1,159.458891991,158.901413033,158.88150307,158.991007866,159.180052962,158.353889056,158.52312374,157.278751066,156.198635584,161.031779052
177,0,157.706815266,159.458891991,158.901413033,158.88150307,158.991007866,159.180052962,158.353889056,158.52312374,157.278751066,156.198635584
178,0,165.929629898,165.481655735,165.591160531,165.352340527,165.640935438,162.982955405,163.560344326,163.819173842,163.868948749,163.759543504
179,-1,165.411970866,165.352240977,165.571250568,165.601115512,165.6608454,165.551340605,165.481655735,166.019224731,167.104218153,167.308394821
180,0,162.276151726,163.998363507,164.117823284,164.217373098,163.361244698,163.5205244,162.684305963,164.3766528,164.257193024,164.01827347
181,1,159.349387196,159.210017456,159.210017456,159.608216712,157.388255861,154.809915679,154.302211628,155.128475084,154.401860992,153.127523824
182,0,169.662648372,168.746889633,168.119725805,168.269050526,168.189410675,168.288960489,169.075404019,169.035584093,169.22472874,169.035584093
183,-1,170.419326507,170.747840893,169.802117661,170.996715428,171.215725019,172.012123531,171.484509517,171.594014312,171.474554535,172.270953047
184,0,165.471700754,165.740485252,165.471700754,166.795713279,167.661796661,167.134182647,168.119725805,168.517925061,166.148639489,167.402967145
185,1,171.00667041,170.737885912,168.378555321,168.079905879,167.880806252,167.840986326,167.920626177,167.602066773,167.44278707,165.133231386
186,0,175.028482893,174.818532336,174.879158173,175.426682149,175.64569174,175.605871814,175.347042298,174.958798024,174.85924821,174.729833452
187,-1,175.586459601,175.526231963,174.461048954,174.993142709,174.640238619,175.028482893,174.818532336,174.879158173,175.426682149,175.64569174
188,0,173.097216503,173.86375007,173.799042691,173.158539188,174.042939735,173.963299884,174.013074791,174.461048954,174.560598768,174.998617949
189,1,171.90225078,173.065499093,172.946191574,173.244460372,173.594965573,172.728882191,172.071853419,171.086310261,172.08190795,169.682657884
190,0,172.896480108,172.797057175,172.777172588,173.224575786,172.974924802,172.667807362,173.75151733,174.25360314,173.562613757,174.278458873
191,-1,173.950363195,173.893990392,173.60238293,173.701805863,173.681921277,173.35760367,174.010016955,173.77050711,174.049786128,174.825285004
192,0,166.235243034,165.738028947,166.831681208,165.032126125,164.723915033,164.544953754,164.495341711,163.043667469,163.53083984,165.877221053
193,1,160.070921779,160.070822356,161.085035693,162.138918781,162.019611261,161.750175114,159.971498846,158.848019706,158.455299121,158.301193575
194,0,161.90567258,162.307937766,161.840649982,159.613576288,158.828135119,159.325249783,160.100748659,160.707228549,159.404788129,159.872075913
195,-1,158.987211812,156.581176838,157.068349209,159.076692451,160.597863323,162.059380434,161.950015208,162.34770694,161.959858079,162.357649233
196,0,159.563864822,161.532438891,158.987211812,156.581176838,157.068349209,159.076692451,160.597863323,162.059380434,161.950015208,162.34770694
197,0,157.43621406,157.654944512,156.730311237,157.49586782,156.441984732,157.446156353,159.563864822,161.532438891,158.987211812,156.581176838
198,-1,157.913444137,157.674829099,157.43621406,157.654944512,156.730311237,157.49586782,156.441984732,157.446156353,159.563864822,161.532438891
199,0,159.056807864,157.913444137,157.674829099,157.43621406,157.654944512,156.730311237,157.49586782,156.441984732,157.446156353,159.563864822
200,1,160.200171591,158.828135119,159.056807864,157.913444137,157.674829099,157.43621406,157.654944512,156.730311237,157.49586782,156.441984732
201,0,158.450327975,158.370789628,157.545579286,156.28290804,156.044293001,157.913444137,156.929157103,160.687343962,160.816593775,160.50828326
202,-1,159.593791124,158.450327975,158.370789628,157.545579286,156.28290804,156.044293001,157.913444137,156.929157103,160.687343962,160.816593775
203,0,161.393246785,160.428844337,160.687343962,159.593791124,158.450327975,158.370789628,157.545579286,156.28290804,156.044293001,157.913444137
204,1,161.333593025,161.393246785,160.428844337,160.687343962,159.593791124,158.450327975,158.370789628,157.545579286,156.28290804,156.044293001
205,0,170.11263799,170.152407163,168.770428397,169.347081407,169.585795869,168.820139864,169.227773888,168.92950509,168.561640238,168.3230252
206,-1,174.069670715,174.119382181,174.029901541,174.059728421,173.642152104,174.84516959,174.984361696,174.616496845,174.338112633,175.759860572
207,0,168.094352454,168.661063171,170.17229175,169.714946259,171.196347957,171.474732169,171.534385929,171.763058674,171.753116381,172.787114882
208,1,170.868252279,171.017386678,171.226174837,171.405136116,170.758887053,170.62963724,170.112538567,168.23354456,168.482101892,167.726487603
209,0,173.681921277,174.059728421,173.771401916,173.105268267,172.985960747,172.598211309,172.588368439,172.528615256,172.946191574,172.548499843
210,-1,180.641924263,181.321778278,180.82048785,180.959679956,181.078987476,181.069045182,180.88014161,181.168468115,181.834601765,182.18258203
211,0,178.434337464,178.404411161,178.235491598,179.269490099,178.782317728,178.043505915,178.295145358,178.086357199,178.523818103,178.344856824
212,1,170.013215057,169.824311485,171.454847582,171.32559777,170.152407163,170.510329721,170.400964495,170.510329721,167.010642487,166.801854328
213,0,176.803900789,178.265318478,178.523818103,178.841971488,178.961279007,179.508105138,179.547874311,179.78648935,179.597585777,179.657239537
214,-1,172.429192324,172.459019203,176.803900789,178.265318478,178.523818103,178.841971488,178.961279007,179.508105138,179.547874311,179.78648935
215,0,172.995903041,173.154979733,173.11521056,174.129324474,173.522844584,172.727461122,172.876595521,171.434962996,172.429192324,172.459019203
216,1,173.02572992,173.69186357,172.995903041,173.154979733,173.11521056,174.129324474,173.522844584,172.727461122,172.876595521,171.434962996
217,0,174.725862071,174.188978234,174.477304739,176.247032942,174.785515831,175.312457374,175.431764894,175.620668466,173.960305488,174.855111884
218,-1,178.414452877,178.54370269,178.623241036,178.613298743,179.408682205,180.054931268,180.283604013,180.025104388,180.154354201,180.721064918
219,0,171.683520328,172.916364694,173.821113383,173.274287252,173.532786878,173.764342888,174.069670715,174.139266767,173.860882556,173.701805863
220,1,161.850592276,161.810823103,162.22839942,162.22839942,162.914417656,162.377533819,161.870476862,160.080864072,160.637632496,158.997154105
221,0,159.563864822,161.433015958,162.168745661,162.476956752,162.476956752,162.814994724,162.93420282,162.914417656,161.74122705,161.59209265
222,-1,158.858061422,158.798308239,160.43878663,159.563864822,161.433015958,162.168745661,162.476956752,162.476956752,162.814994724,162.93420282
