frame,updown,date,0
1,-1.0,2016-01-04,24.111492156982425
2,0.0,2016-01-06,23.0472469329834
2,0.0,2016-01-07,22.074546813964844
2,0.0,2016-01-08,22.191280364990234
2,0.0,2016-01-11,22.55059814453125
2,0.0,2016-01-12,22.87788772583008
2,0.0,2016-01-13,22.28969383239746
2,0.0,2016-01-14,22.777177810668945
2,0.0,2016-01-15,22.23017883300781
2,0.0,2016-01-19,22.122617721557617
2,0.0,2016-01-20,22.152366638183597
3,1.0,2016-01-13,22.28969383239746
3,1.0,2016-01-14,22.777177810668945
3,1.0,2016-01-15,22.23017883300781
3,1.0,2016-01-19,22.122617721557617
3,1.0,2016-01-20,22.152366638183597
3,1.0,2016-01-21,22.040218353271484
3,1.0,2016-01-22,23.212032318115234
3,1.0,2016-01-25,22.75887489318848
3,1.0,2016-01-26,22.88475227355957
3,1.0,2016-01-27,21.381078720092773
4,0.0,2016-02-17,22.57862091064453
4,0.0,2016-02-18,22.15061378479004
4,0.0,2016-02-19,22.09998893737793
4,0.0,2016-02-22,22.293275833129883
4,0.0,2016-02-23,21.789337158203125
4,0.0,2016-02-24,22.113792419433597
4,0.0,2016-02-25,22.265668869018555
4,0.0,2016-02-26,22.30018424987793
4,0.0,2016-02-29,22.249561309814453
4,0.0,2016-03-01,23.133188247680664
5,-1.0,2016-04-01,25.31005096435547
5,-1.0,2016-04-04,25.5700798034668
5,-1.0,2016-04-05,25.268632888793945
5,-1.0,2016-04-06,25.53326416015625
5,-1.0,2016-04-07,24.976394653320312
5,-1.0,2016-04-08,25.004011154174805
5,-1.0,2016-04-11,25.086843490600582
5,-1.0,2016-04-12,25.41360282897949
5,-1.0,2016-04-13,25.781784057617188
5,-1.0,2016-04-14,25.79559135437012
6,0.0,2016-04-26,24.01222038269043
6,0.0,2016-04-27,22.50959014892578
6,0.0,2016-04-28,21.82155036926269
6,0.0,2016-04-29,21.570724487304688
6,0.0,2016-05-02,21.547718048095703
6,0.0,2016-05-03,21.902082443237305
6,0.0,2016-05-04,21.67428398132324
6,0.0,2016-05-05,21.586301803588867
6,0.0,2016-05-06,21.465917587280277
6,0.0,2016-05-09,21.482126235961918
7,1.0,2016-04-29,21.570724487304688
7,1.0,2016-05-02,21.547718048095703
7,1.0,2016-05-03,21.902082443237305
7,1.0,2016-05-04,21.67428398132324
7,1.0,2016-05-05,21.586301803588867
7,1.0,2016-05-06,21.465917587280277
7,1.0,2016-05-09,21.482126235961918
7,1.0,2016-05-10,21.627975463867188
7,1.0,2016-05-11,21.41730117797852
7,1.0,2016-05-12,20.914913177490234
8,0.0,2016-05-11,21.41730117797852
8,0.0,2016-05-12,20.914913177490234
8,0.0,2016-05-13,20.956586837768555
8,0.0,2016-05-16,21.73447036743164
8,0.0,2016-05-17,21.644182205200195
8,0.0,2016-05-18,21.891902923583984
8,0.0,2016-05-19,21.80855369567871
8,0.0,2016-05-20,22.04469871520996
8,0.0,2016-05-23,22.3248348236084
8,0.0,2016-05-24,22.6651554107666
9,-1.0,2016-05-13,20.956586837768555
9,-1.0,2016-05-16,21.73447036743164
9,-1.0,2016-05-17,21.644182205200195
9,-1.0,2016-05-18,21.891902923583984
9,-1.0,2016-05-19,21.80855369567871
9,-1.0,2016-05-20,22.04469871520996
9,-1.0,2016-05-23,22.3248348236084
9,-1.0,2016-05-24,22.6651554107666
9,-1.0,2016-05-25,23.063356399536133
9,-1.0,2016-05-26,23.24625968933105
10,0.0,2016-05-18,21.891902923583984
10,0.0,2016-05-19,21.80855369567871
10,0.0,2016-05-20,22.04469871520996
10,0.0,2016-05-23,22.3248348236084
10,0.0,2016-05-24,22.6651554107666
10,0.0,2016-05-25,23.063356399536133
10,0.0,2016-05-26,23.24625968933105
10,0.0,2016-05-27,23.232364654541016
10,0.0,2016-05-31,23.11892318725586
10,0.0,2016-06-01,22.794809341430664
11,1.0,2016-06-14,22.56329345703125
11,1.0,2016-06-15,22.48920440673828
11,1.0,2016-06-16,22.584129333496094
11,1.0,2016-06-17,22.07017135620117
11,1.0,2016-06-20,22.01692008972168
11,1.0,2016-06-21,22.204444885253903
11,1.0,2016-06-22,22.121103286743164
11,1.0,2016-06-23,22.248432159423828
11,1.0,2016-06-24,21.62335205078125
11,1.0,2016-06-27,21.30848693847656
12,0.0,2016-09-19,26.43773651123047
12,0.0,2016-09-20,26.43540573120117
12,0.0,2016-09-21,26.43075180053711
12,0.0,2016-09-22,26.679811477661133
12,0.0,2016-09-23,26.235227584838867
12,0.0,2016-09-26,26.274799346923828
12,0.0,2016-09-27,26.32367706298828
12,0.0,2016-09-28,26.523855209350582
12,0.0,2016-09-29,26.11185836791992
12,0.0,2016-09-30,26.31436920166016
13,-1.0,2016-10-12,27.312936782836918
13,-1.0,2016-10-13,27.229143142700195
13,-1.0,2016-10-14,27.38043975830078
13,-1.0,2016-10-17,27.361820220947266
13,-1.0,2016-10-18,27.343202590942383
13,-1.0,2016-10-19,27.26173210144043
13,-1.0,2016-10-20,27.24776268005371
13,-1.0,2016-10-21,27.14068984985352
13,-1.0,2016-10-24,27.385099411010746
13,-1.0,2016-10-25,27.524757385253903
14,0.0,2016-10-26,26.905595779418945
14,0.0,2016-10-27,26.64723014831543
14,0.0,2016-10-28,26.47031784057617
14,0.0,2016-10-31,26.428422927856445
14,0.0,2016-11-01,25.95124626159668
14,0.0,2016-11-02,25.97452545166016
14,0.0,2016-11-03,25.696107864379883
14,0.0,2016-11-04,25.46448516845703
14,0.0,2016-11-07,25.831811904907227
14,0.0,2016-11-08,25.983884811401367
