,indicator,1,2,3,4,5,6
339,0,130.652452176,130.295586601,129.651245979,129.452987327,129.472813192,129.155599348
340,-1,130.454193523,130.59297458,129.661158912,130.652452176,130.672278041,130.731755637
341,0,124.863299515,125.121035764,124.744344323,125.299468551,125.299369422,125.347546274
342,1,123.525053609,122.920364718,122.761757796,122.732018998,122.196720635,122.057939578
343,0,125.111122831,125.809984582,125.59685653,125.418324613,125.111122831,124.704692593
344,-1,125.89414538,125.904157442,125.923983307,126.072677297,126.64762739,126.717017918
345,0,126.251110084,126.251110084,126.062764364,126.201545421,126.300674748,126.330413546
346,1,123.316882023,122.087678376,121.938984387,121.98854905,121.879506791,121.780377464
347,0,124.982254707,124.972341774,125.834766914,126.142067825,125.993373836,125.715811722
348,-1,126.042938499,126.052851432,126.142067825,126.399804074,126.439455805,126.489020468
349,0,120.620564346,120.957604055,120.818822999,121.076559247,121.056733382,122.494108614
350,1,121.195514439,121.254992035,121.215439433,121.284730833,121.572305008,120.620564346
351,0,123.802615723,122.622976739,122.018287848,121.760551599,121.641596408,121.254992035
352,-1,123.797659256,124.417316676,124.189220096,124.437043412,124.407304614,124.526259805
