,indicator,1,2,3,4,5,6,7,8
258,1,170.092753403,168.271822389,168.641178585,168.472159599,167.68671843,167.298869569,165.270741163,164.892934019
259,0,172.777172588,171.942019953,171.922135366,171.246059424,171.584097395,172.280057924,172.379480857,172.319827098
260,-1,174.2386897,174.87499647,175.024130869,174.984361696,174.686092898,175.759860572,175.859283505,176.157552303
261,0,172.647922776,171.703404914,171.633808861,173.970247782,174.024930395,173.761459623,174.094526448,174.169093647
262,1,171.156578784,171.554270515,171.504559049,170.848367692,170.788713933,170.778771639,170.739002466,168.740601517
263,0,181.138641235,180.949737663,181.894255524,182.321774135,182.311831842,182.083159097,182.073216803,181.884313231
264,-1,181.4120543,181.148583529,181.248006461,181.148583529,181.138641235,180.949737663,181.894255524,182.321774135
265,0,180.383026946,180.721064918,181.116271075,181.824659472,181.4120543,181.148583529,181.248006461,181.148583529
266,1,177.559316232,177.400338963,176.813743659,176.883339712,176.72426302,177.24126227,176.773974486,176.545301741
267,0,178.270289625,177.350627496,177.092127871,177.191550804,177.221377684,177.102070164,176.883339712,176.962878059
268,-1,180.114585028,180.204065667,180.084758148,180.025104388,179.985335215,179.388797618,179.1203557,180.283604013
269,0,175.044015456,175.48147636,175.391995721,175.620668466,175.441707187,176.048187077,176.286802116,177.440108136
270,1,172.091154352,171.802827847,170.550098894,170.569983481,170.560041187,171.26594401,167.517699444,167.02058478
271,0,179.856085402,179.796431643,180.094700441,178.116184079,174.775573537,174.308285753,173.433363945,172.787114882
272,-1,178.464164344,178.752490849,178.911567541,179.259547806,179.040817354,179.63735495,179.875969989,180.204065667
273,0,173.234518079,174.179035941,174.318228047,174.834630759,173.403537065,172.906422401,172.439134617,172.816941761
