,indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
29,0,155.541476084,155.571426304,154.423334536,154.523168603,154.543135416,154.353450689,153.534811341,152.75610562,152.436636606,153.0256576,153.335143208,153.474910901,153.345126614,153.195375514,153.145458481,152.98562414,153.045624414,153.205358921,154.293550249,154.543135416
30,-1,146.067223144,146.286858091,145.903994445,145.048915663,144.423654902,144.278396335,144.759396869,142.932433446,145.607986437,144.959065003,145.108716269,146.097173364,145.86755501,145.65790347,145.428285117,144.759396869,151.028976264,155.476583941,154.822670803,156.486405526
31,0,148.073887887,147.924136787,147.724468653,148.363406681,146.067223144,146.286858091,145.903994445,145.048915663,144.423654902,144.278396335,144.759396869,142.932433446,145.607986437,144.959065003,145.108716269,146.097173364,145.86755501,145.65790347,145.428285117,144.759396869
32,1,149.211097742,148.563074814,149.261913282,149.631299329,148.952427675,148.952427675,149.551432076,148.553091408,148.073887887,147.924136787,147.724468653,148.363406681,146.067223144,146.286858091,145.903994445,145.048915663,144.423654902,144.278396335,144.759396869,142.932433446
33,0,149.162079215,149.291863502,149.341780535,149.551432076,149.361747349,148.952427675,148.573058221,149.002344708,151.065216031,150.674565327,151.423320828,151.303519948,151.188710771,151.528146598,152.137134406,150.919158791,150.250270543,150.599689777,150.64960681,151.218660991
34,-1,148.248597504,148.303506241,149.541149167,149.311830315,149.102178775,149.162079215,149.291863502,149.341780535,149.551432076,149.361747349,148.952427675,148.573058221,149.002344708,151.065216031,150.674565327,151.423320828,151.303519948,151.188710771,151.528146598,152.137134406
35,0,145.138766323,144.390010822,143.33166988,143.067209437,143.092167953,143.112134767,142.740452536,142.083843879,142.483180146,141.914125965,141.934092778,141.794325085,141.644573985,142.053893658,144.649379727,143.860890268,145.348417863,145.533110887,145.997339297,146.406658971
36,1,142.583014213,142.762715533,143.591338287,143.471537407,142.273528605,144.390010822,145.44825193,145.138766323,144.390010822,143.33166988,143.067209437,143.092167953,143.112134767,142.740452536,142.083843879,142.483180146,141.914125965,141.934092778,141.794325085,141.644573985
37,0,143.361719934,143.701155761,142.822615973,142.568039103,142.712798499,143.661222134,143.691172354,143.521454441,143.062217733,142.762715533,142.583014213,142.762715533,143.591338287,143.471537407,142.273528605,144.390010822,145.44825193,145.138766323,144.390010822,143.33166988
38,-1,142.283512012,141.584673544,143.201985427,143.361719934,143.701155761,142.822615973,142.568039103,142.712798499,143.661222134,143.691172354,143.521454441,143.062217733,142.762715533,142.583014213,142.762715533,143.591338287,143.471537407,142.273528605,144.390010822,145.44825193
39,0,145.32845105,144.844255826,143.766047904,144.489844889,145.088849289,142.263545199,143.551404661,144.12754706,144.429844614,144.240259722,144.639595989,142.782682346,144.170375875,142.98235048,142.283512012,141.584673544,143.201985427,143.361719934,143.701155761,142.822615973
40,1,144.140425655,143.990674555,144.499828295,145.158733136,145.32845105,144.844255826,143.766047904,144.489844889,145.088849289,142.263545199,143.551404661,144.12754706,144.429844614,144.240259722,144.639595989,142.782682346,144.170375875,142.98235048,142.283512012,141.584673544
41,0,141.593958113,142.121581156,142.443246519,142.163711132,142.263545199,142.443246519,142.83259938,143.211968833,143.990674555,144.140425655,143.990674555,144.499828295,145.158733136,145.32845105,144.844255826,143.766047904,144.489844889,145.088849289,142.263545199,143.551404661
42,-1,140.097145949,140.137079576,140.815651728,141.764374865,140.743272029,141.444905851,141.593958113,142.121581156,142.443246519,142.163711132,142.263545199,142.443246519,142.83259938,143.211968833,143.990674555,144.140425655,143.990674555,144.499828295,145.158733136,145.32845105
43,0,143.860890268,141.899150855,140.082969512,139.408290888,138.899137147,139.268523195,138.57467643,138.150381646,138.180331866,138.130414833,137.840896039,137.850879446,139.667859462,139.707793089,140.097145949,140.137079576,140.815651728,141.764374865,140.743272029,141.444905851
44,1,142.692831686,142.453229926,142.439652493,142.393329486,142.592997619,141.574690138,142.133760912,142.962383666,141.874192338,143.860890268,141.899150855,140.082969512,139.408290888,138.899137147,139.268523195,138.57467643,138.150381646,138.180331866,138.130414833,137.840896039
45,0,139.038904841,134.206936008,136.03389943,136.053866243,140.706133757,140.331756006,141.574690138,142.573030806,142.692831686,142.453229926,142.439652493,142.393329486,142.592997619,141.574690138,142.133760912,142.962383666,141.874192338,143.860890268,141.899150855,140.082969512
46,-1,138.38,138.739402641,139.038904841,134.206936008,136.03389943,136.053866243,140.706133757,140.331756006,141.574690138,142.573030806,142.692831686,142.453229926,142.439652493,142.393329486,142.592997619,141.574690138,142.133760912,142.962383666,141.874192338,143.860890268
47,0,139.757710122,139.231884092,138.300232581,138.280165933,138.06552269,138.240232306,138.220664829,138.310116153,138.38,138.449883847,138.38,138.739402641,139.038904841,134.206936008,136.03389943,136.053866243,140.706133757,140.331756006,141.574690138,142.573030806
48,1,139.997311882,139.887494409,140.087162542,139.318440228,139.661569916,139.198639348,139.757710122,139.231884092,138.300232581,138.280165933,138.06552269,138.240232306,138.220664829,138.310116153,138.38,138.449883847,138.38,138.739402641,139.038904841,134.206936008
49,0,140.886434081,140.067195729,139.917444629,139.947394849,139.867527595,139.777676935,139.767693529,139.687826275,139.787660342,139.008954621,139.667859462,139.697809682,139.947394849,140.566366063,138.539734507,139.350586797,140.226930236,139.349388789,141.035486343,140.556382656
