Date,AAPL
2016-01-04,24.111492156982422
2016-01-05,23.507278442382812
2016-01-06,23.0472469329834
2016-01-07,22.074546813964844
2016-01-08,22.191280364990234
2016-01-11,22.55059814453125
2016-01-12,22.877887725830078
2016-01-13,22.28969383239746
2016-01-14,22.777177810668945
2016-01-15,22.230178833007812
2016-01-19,22.122617721557617
2016-01-20,22.152366638183594
2016-01-21,22.040218353271484
2016-01-22,23.212032318115234
2016-01-25,22.758874893188477
2016-01-26,22.88475227355957
2016-01-27,21.381078720092773
2016-01-28,21.5344181060791
2016-01-29,22.278244018554688
2016-02-01,22.06997299194336
2016-02-02,21.623676300048828
2016-02-03,22.051664352416992
2016-02-04,22.22884750366211
2016-02-05,21.63515853881836
2016-02-08,21.86297607421875
2016-02-09,21.858366012573242
2016-02-10,21.692686080932617
2016-02-11,21.56153106689453
2016-02-12,21.62825584411621
2016-02-16,22.238054275512695
2016-02-17,22.57862091064453
2016-02-18,22.15061378479004
2016-02-19,22.09998893737793
2016-02-22,22.293275833129883
2016-02-23,21.789337158203125
2016-02-24,22.113792419433594
2016-02-25,22.265668869018555
2016-02-26,22.30018424987793
2016-02-29,22.249561309814453
2016-03-01,23.133188247680664
2016-03-02,23.183820724487305
2016-03-03,23.356403350830078
2016-03-04,23.703868865966797
2016-03-07,23.44154167175293
2016-03-08,23.248247146606445
2016-03-09,23.268959045410156
2016-03-10,23.280460357666016
2016-03-11,23.531291961669922
2016-03-14,23.59111785888672
2016-03-15,24.065149307250977
2016-03-16,24.38500213623047
2016-03-17,24.345884323120117
2016-03-18,24.37349510192871
2016-03-21,24.371198654174805
2016-03-22,24.55759048461914
2016-03-23,24.42181968688965
2016-03-24,24.315963745117188
2016-03-28,24.20551872253418
2016-03-29,24.778493881225586
2016-03-30,25.211109161376953
2016-03-31,25.07994270324707
2016-04-01,25.31005096435547
2016-04-04,25.570079803466797
2016-04-05,25.268632888793945
2016-04-06,25.53326416015625
2016-04-07,24.976394653320312
2016-04-08,25.004011154174805
2016-04-11,25.086843490600586
2016-04-12,25.413602828979492
2016-04-13,25.781784057617188
2016-04-14,25.795591354370117
2016-04-15,25.27783966064453
2016-04-18,24.73246955871582
2016-04-19,24.60131072998047
2016-04-20,24.65192985534668
2016-04-21,24.38500213623047
2016-04-22,24.31827735900879
2016-04-25,24.180206298828125
2016-04-26,24.01222038269043
2016-04-27,22.50959014892578
2016-04-28,21.821550369262695
2016-04-29,21.570724487304688
2016-05-02,21.547718048095703
2016-05-03,21.902082443237305
2016-05-04,21.674283981323242
2016-05-05,21.586301803588867
2016-05-06,21.465917587280273
2016-05-09,21.482126235961914
2016-05-10,21.627975463867188
2016-05-11,21.417301177978516
2016-05-12,20.914913177490234
2016-05-13,20.956586837768555
2016-05-16,21.73447036743164
2016-05-17,21.644182205200195
2016-05-18,21.891902923583984
2016-05-19,21.80855369567871
2016-05-20,22.04469871520996
2016-05-23,22.3248348236084
2016-05-24,22.6651554107666
2016-05-25,23.063356399536133
2016-05-26,23.246259689331055
2016-05-27,23.232364654541016
2016-05-31,23.11892318725586
2016-06-01,22.794809341430664
2016-06-02,22.62348175048828
2016-06-03,22.669784545898438
2016-06-06,22.83416175842285
2016-06-07,22.9267635345459
2016-06-08,22.905933380126953
2016-06-09,23.070302963256836
2016-06-10,22.880464553833008
2016-06-13,22.535511016845703
2016-06-14,22.56329345703125
2016-06-15,22.48920440673828
2016-06-16,22.584129333496094
2016-06-17,22.070171356201172
2016-06-20,22.01692008972168
2016-06-21,22.204444885253906
2016-06-22,22.121103286743164
2016-06-23,22.248432159423828
2016-06-24,21.62335205078125
2016-06-27,21.308486938476562
2016-06-28,21.667327880859375
2016-06-29,21.854860305786133
2016-06-30,22.132673263549805
2016-07-01,22.199817657470703
2016-07-05,21.991451263427734
2016-07-06,22.116470336914062
2016-07-07,22.211393356323242
2016-07-08,22.382707595825195
2016-07-11,22.452165603637695
2016-07-12,22.55402946472168
2016-07-13,22.42670249938965
2016-07-14,22.871200561523438
2016-07-15,22.86888885498047
2016-07-18,23.111976623535156
2016-07-19,23.12124252319336
2016-07-20,23.14207649230957
2016-07-21,23.019371032714844
2016-07-22,22.841108322143555
2016-07-25,22.535511016845703
2016-07-26,22.380393981933594
2016-07-27,23.83429718017578
2016-07-28,24.156099319458008
2016-07-29,24.12600326538086
2016-08-01,24.5519962310791
2016-08-02,24.18851661682129
2016-08-03,24.491798400878906
2016-08-04,24.643096923828125
2016-08-05,25.017854690551758
2016-08-08,25.225017547607422
2016-08-09,25.327430725097656
2016-08-10,25.138885498046875
2016-08-11,25.122594833374023
2016-08-12,25.180784225463867
2016-08-15,25.483383178710938
2016-08-16,25.460105895996094
2016-08-17,25.422863006591797
2016-08-18,25.39027976989746
2016-08-19,25.455453872680664
2016-08-22,25.257606506347656
2016-08-23,25.336746215820312
2016-08-24,25.145875930786133
2016-08-25,25.03879737854004
2016-08-26,24.892154693603516
2016-08-29,24.864221572875977
2016-08-30,24.673355102539062
2016-08-31,24.696638107299805
2016-09-01,24.843276977539062
2016-09-02,25.076045989990234
2016-09-06,25.06905746459961
2016-09-07,25.222686767578125
2016-09-08,24.56162452697754
2016-09-09,24.005313873291016
2016-09-12,24.543004989624023
2016-09-13,25.127256393432617
2016-09-14,26.01641845703125
2016-09-15,26.90093994140625
2016-09-16,26.749637603759766
2016-09-19,26.43773651123047
2016-09-20,26.435405731201172
2016-09-21,26.43075180053711
2016-09-22,26.679811477661133
2016-09-23,26.235227584838867
2016-09-26,26.274799346923828
2016-09-27,26.32367706298828
